Key,row_number,date,axle_position,td,pressure,tire_size,brand,product_line,parts;;;;;;;;;;;
"ST-TA1074,3523.0,2023-05-27,3TR,17.6,9.0,385/65R22.5,DUNLOP,SP247,""['385/65R22.5', 'SP247', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take 6016107104 for 3 axle right
ST-TA1092,,,,,,,,,;;;;;;;;;;;take values from 12.09.2023
"ST-TA127,3583.0,2023-08-30,3TL,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;leave out, need to ask client
"ST-TA1814,3601.0,2023-04-21,1DIR,5.0,8.0,315/70R22.5,MICHELIN,X MULTI D,""['315/70R22.5', '154/150L', 'X', 'MULTI', 'D', 'VG']""";;;;;;;;;;;leave out, need to ask client
"ST-TA1908,3623.0,2023-08-17,1DIR,2.0,7.2,315/70R22.5,MICHELIN,X MULTI D,""['315/70R22.5', '154/150L', 'X', 'MULTI', 'D', 'VG']""";;;;;;;;;;;leave out, need to ask client
ST-TA2013,,,,,,,,,;;;;;;;;;;;take values from 21.07.2023
"ST-TA2022,3679.0,2023-04-29,1DIR,3.0,6.3,315/70R22.5,MICHELIN,X MULTI D,""['315/70R22.5', '154/150L', 'X', 'MULTI', 'D', 'VG']""";;;;;;;;;;;leave out, need to ask client
"ST-TA2028,3708.0,2023-05-13,1DIR,4.0,7.5,315/70R22.5,MICHELIN,X MULTI D,""['315/70R22.5', '154/150L', 'X', 'MULTI', 'D', 'VG']""";;;;;;;;;;;leave out, need to ask client
"ST-TA2029,3721.0,2023-08-26,3TR,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take 7993632705 for 3 axle right
"ST-TA2039,3746.0,2023-06-10,3TR,4.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take 6015445677 on 3 axle right
"ST-TA2049,3750.0,2023-05-27,1TR,17.6,9.0,385/65R22.5,DUNLOP,SP247,""['385/65R22.5', 'SP247', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take tires with 17,6 for 1 axle
"ST-TA2062,3758.0,2023-04-13,1SR,16.1,9.0,315/70R22.5,GOODYEAR,KMAX,""['315/70R22.5', 'KMAX', 'S', 'G2', 'HL', '156/150L', '3PSF']""";;;;;;;;;;;leave out, need to ask client
"ST-TA2069,3772.0,2023-07-17,1TR,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take tires with 14 tread depth for 1 axle
"ST-TA2102,3788.0,2023-09-19,1DIL,17.6,8.0,315/70R22.5,GOODYEAR,KMAX,""['315/70R22.5', 'KMAX', 'D', 'G2', '154L152M', '3PSF']""";;;;;;;;;;;leave out, need to ask client
"ST-TA3014,3949.0,2023-09-30,3TR,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take tires with 14 tread depth for 3 axle
"ST-TA3500,4020.0,2023-09-07,1TR,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take tires with 14 tread depth for 1 axle
"ST-TA4005,4057.0,2023-09-30,1TR,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take 38316579 for 1 axle right
"ST-TA4016,4068.0,2023-06-10,3TR,17.6,9.0,385/65R22.5,DUNLOP,SP247,""['385/65R22.5', 'SP247', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take 6016253310 for 3 axle right
"ST-U5469,4121.0,2023-06-10,3TR,12.0,9.0,385/65R22.5,FULDA,ECOTONN,""['385/65R22.5', 'ECOTONN', '2', '160K158L', 'TL']""";;;;;;;;;;;leave out, need to ask client
"ST-V6942,4123.0,2023-07-06,1TL,4.0,6.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take 1935527974 for 1 axle left
"ST-Z6420,4202.0,2023-04-01,3TR,6.0,9.2,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;leave out, need to ask client
"ST-Z8420,4216.0,2023-08-29,3TR,13.0,9.0,385/65R22.5,PIRELLI,IT-T90,""['385/65R22.5', '160K158L', 'IT-T90']""";;;;;;;;;;;leave out, need to ask client
